"","MLUSE_old","MLUSE_new"
"1515","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1516","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1517","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1518","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1519","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1520","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1521","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1522","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1523","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1524","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1525","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1526","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1527","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1528","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1529","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1530","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1531","Single Family Residential Suburban (before)","Undefined (after)"
"1532","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1533","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1534","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"1535","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1536","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1537","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1538","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1539","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1540","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1541","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1542","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1543","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1544","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1545","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1546","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1547","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1548","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"1549","Agricultural / Undeveloped (100+ Acres) (before)","Other (after)"
"1550","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"1551","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1552","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1553","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
