"","LUC_old","LUC_new"
"1526","Undefined (before)","Single Family Residential Urban (after)"
"1527","Undefined (before)","Single Family Residential Urban (after)"
"1528","Undefined (before)","Single Family Residential Urban (after)"
"1529","Undefined (before)","Single Family Residential Urban (after)"
"1530","Undefined (before)","Single Family Residential Urban (after)"
"1531","Undefined (before)","Single Family Residential Urban (after)"
"1532","Undefined (before)","Single Family Residential Urban (after)"
"1533","Undefined (before)","Single Family Residential Urban (after)"
"1534","Undefined (before)","Single Family Residential Urban (after)"
"1535","Undefined (before)","Single Family Residential Urban (after)"
"1536","Undefined (before)","Single Family Residential Urban (after)"
"1537","Undefined (before)","Single Family Residential Urban (after)"
"1538","Undefined (before)","Single Family Residential Urban (after)"
"1539","Undefined (before)","Single Family Residential Urban (after)"
"1540","Undefined (before)","Single Family Residential Urban (after)"
"1541","Undefined (before)","Single Family Residential Urban (after)"
"1542","Undefined (before)","Single Family Residential Urban (after)"
"1543","Undefined (before)","Single Family Residential Urban (after)"
"1544","Undefined (before)","Single Family Residential Urban (after)"
"1545","Undefined (before)","Single Family Residential Urban (after)"
"1546","Undefined (before)","Single Family Residential Urban (after)"
"1547","Undefined (before)","Single Family Residential Urban (after)"
"1548","Undefined (before)","Single Family Residential Urban (after)"
"1549","Undefined (before)","Single Family Residential Urban (after)"
"1550","Undefined (before)","Single Family Residential Urban (after)"
"1551","Undefined (before)","Single Family Residential Urban (after)"
"1552","Undefined (before)","Single Family Residential Urban (after)"
"1553","Undefined (before)","Single Family Residential Urban (after)"
"1554","Undefined (before)","Single Family Residential Urban (after)"
"1555","Undefined (before)","Single Family Residential Urban (after)"
"1556","Undefined (before)","Single Family Residential Urban (after)"
"1557","Undefined (before)","Single Family Residential Urban (after)"
"1558","Undefined (before)","Single Family Residential Urban (after)"
"1559","Undefined (before)","Single Family Residential Urban (after)"
"1560","Undefined (before)","Single Family Residential Urban (after)"
"1561","Undefined (before)","Single Family Residential Urban (after)"
"1562","Undefined (before)","Single Family Residential Urban (after)"
"1563","Undefined (before)","Single Family Residential Urban (after)"
"1564","Undefined (before)","Single Family Residential Urban (after)"
"1565","Undefined (before)","Single Family Residential Urban (after)"
"1566","Undefined (before)","Single Family Residential Urban (after)"
"1567","Undefined (before)","Single Family Residential Urban (after)"
"1568","Undefined (before)","Single Family Residential Urban (after)"
"1569","Undefined (before)","Single Family Residential Urban (after)"
"1570","Undefined (before)","Single Family Residential Urban (after)"
"1571","Undefined (before)","Single Family Residential Urban (after)"
"1572","Undefined (before)","Single Family Residential Urban (after)"
"1573","Undefined (before)","Single Family Residential Urban (after)"
"1574","Undefined (before)","Single Family Residential Urban (after)"
"1575","Undefined (before)","Single Family Residential Urban (after)"
"1576","Undefined (before)","Single Family Residential Urban (after)"
"1577","Undefined (before)","Single Family Residential Urban (after)"
"1578","Undefined (before)","Single Family Residential Urban (after)"
"1579","Undefined (before)","Single Family Residential Urban (after)"
"1580","Undefined (before)","Single Family Residential Urban (after)"
"1581","Undefined (before)","Single Family Residential Urban (after)"
"1582","Undefined (before)","Single Family Residential Urban (after)"
"1583","Undefined (before)","Single Family Residential Urban (after)"
"1584","Undefined (before)","Single Family Residential Urban (after)"
"1585","Undefined (before)","Single Family Residential Urban (after)"
"1586","Undefined (before)","Single Family Residential Urban (after)"
"1587","Undefined (before)","Single Family Residential Urban (after)"
